Key,Context,Example,Source,de,es,fr,ja,ko,pt,zh-hans,zh-hant
,PlayerGui.FurnishGui.Currencies.BuildPoints.CurrencyNameAndCount,,Build Points:,Baupunkte:,Build Points:,Points de construction:,ビルドポイント:,제작 포인트:,Pontos de Construção:,建造点数：,建造點數：
,,,BuildPoints,,,,,,,,
fireAdjectiveFP1,,female plural,Burning,Brennende,Burning,brûlantes,燃え盛る,불타는,Queimando,熊熊燃烧,燃燒
fireAdjectiveFS1,,female singular,Burning,Brennender,Burning,brûlant,,불타는,Queimando,熊熊燃烧,燃燒
SwordButcher,,Cool sounding sword name,Butcher,Metzger,,Boucherie,,정육점 칼,,屠刀,屠刀
,,,Button,,,,,,,,
,,,Buy,Kaufen, Comprar ,Acheter,購入,구매,Comprar,购买,購買
,,,Buy Gold,,,,,,,,
BuyFor,,Buy for 300 gold,Buy for {1:int} gold,Kaufe für {1:int} Gold,,Acheter pour {1:int} or,,금 {1:int}개로 구매하기,Comprar por {1:int} Ouros,以 {1:int} 金币购买,以 {1:int} 黃金購買
,,,Buy for {number1},,,,,,,,
StoreInfoGold,,Buy gold for your level 4 Rogue. They can use it to buy gear in the gear shop.,Buy gold for your Level {level:int} {class}. They can use it to buy gear in the gear shop.,"Kaufe Gold für dein Level {level:int} {class}. Sie können es nutzen, um im Shop Ausrüstung zu kaufen.",,Achète de l'or pour ton niveau {level:int} {class}. Il peut l'utiliser pour acheter des équipement.,,내 레벨 {level:int} {class}에서 금을 구매하세요. 상점에서 장비들을 구입할 수 있어요.,Comprar Ouro para seu {class} Nível {level:int}. ele poderá usar para comprar equipamentos na loja de Itens,为你的等级 {level:int} {class}购买黄金，他可以在道具商店购买道具。,為你的等級 {level:int} {class}購買黃金，他可以在道具商店購買道具。
BuyToRandomlyUnlock,,Buy to randomly unlock one of these items for 200 Rubies,Buy to randomly unlock one of these items for {1:int} Rubies,"Kaufen, um eines dieser Items für {1:int} Rubine freizuschalten",Buy to randomly unlock one of these items for {1:int} Rubies,Achète ceci pour débloquer un des objets aléatoirement pour {1:int} rubis,{1:int}ルビーを払って、この中から1つ、ランダムにアンロックする,루비 {1:int}개로 이 아이템 중 하나 무작위로 구매하여 열기,Compre para aleatóriamente desbloquear um desses items por {1:int} Rubis,购买{1:int}红宝石以随机解锁其中一个物品,花費 {1:int} 個紅寶石購買，即可隨機解除其中一個物品的鎖定
Campgrounds,,,Campgrounds,Lagerplätze,Campgrounds,Campements,キャンプ場,캠프,Acampamento,营地,營地
StoreInfoRubies,,,Can be used to buy crates.,Damit kann man Kisten kaufen.,Can be used to buy crates.,Peuvent être utilisés pour acheter des coffres.,箱を買うために使うよ。,궤짝 구매에 사용할 수 있습니다.,Pode ser usado para comprar caixas.,可用于购买箱子,可用來購買木箱。
PriestDescription,,,Can magically heal and is extra strong against creatures of darkness,Kann magisch heilen und ist besonders stark gegen Kreaturen der Dunkelheit,Can magically heal and is extra strong against creatures of darkness,Peut guérir par la magie. Très fort contre les créatures des ténèbres.,回復魔法を使える。闇の生き物に対して特に強い。,마력을 이용하여 치료합니다. 어둠 종족에 특히 강합니다,Pode magicamente curar e é extra forte contra criaturas da escuridão,具备优秀的治疗能力并能对黑暗属性的怪物造成高额伤害,可施展治療法術，對抗黑暗生物時會更加強大
ForbiddenBlueprint,,Treasure chest can't be built on this floor.,Can't be built on this floor,Kann auf diesem Boden nicht gebaut werden,,Impossible de construire sur cet étage,,이 층에 제작할 수 없음,Não pode ser Construido neste Andar,无法建在这层,無法在此關卡建造
ToolInfoCantJump,,,Can't jump,Kann nicht springen,Can't jump,Impossible de sauter,ジャンプできません,점프 불가,Não pode pular,不能跳跃,無法跳躍
PlayerThere,,,Can't place while player is there,"Kann nicht platziert werden, wenn Spiele da ist",Can't place while player is there,Impossible de placer si le joueur est ici,プレイヤーがいるので置けません,플레이어가 거기 있을 때는 배치할 수 없습니다,Não pode colocar enquanto jogador está aqui,玩家还在那里，无法放置,無法放置在玩家所處的位置上
,,,Cancel,Abbrechen,Cancelar,Annuler,キャンセル,취소,Cancelar,取消,取消
,,Categories of furniture,Categories,Kategorien,Categorías,Catégories,カテゴリー,카테고리,Categorias de mobília,类别,類別
radiantAdjectiveFP4,,female plural,Celestial,Himmlische,Celestial,célestes,天空の,천상의,Celestiais,天神的,天空
radiantAdjectiveFS4,,female singular,Celestial,Himmlischer,Celestial,céleste,,천상의,Celestiais,天神的,天空
Chain Mail Leggings,,,Chain Mail Leggings,Kettenpanzer-Beinkleid,Chain Mail Leggings,Jambières en maille,チェインメイルの足,사슬 갑옷 각반,Cota de Malha Calça,锁子甲下装,鎖子甲護腿
Chain Mail Shirt,,,Chain Mail Shirt,Kettenpanzer-Hemd,Chain Mail Shirt,Haut en maille,チェインメイルの体,사슬 갑옷 상의,Cota de Malha Roupa,锁子甲上装,鎖子甲上衣
,,button used on both Choose Hero and Choose Class windows,Choose,Auswählen,Choose,Choisir,選択,선택,Escolher,选择,選擇
,,,"Choose
Hero",,,,,,,,
,,choose which of the heroes you've created you want to bring on this adventure,Choose Hero,Held auswählen,Choose Hero,Choisis ton héros,ヒーローを選ぶ,영웅 선택,Escolha seu Herói,选择英雄,選擇英雄
Choose Place,,choose Roblox place,Choose Place,Platz auswählen,,Choisir emplacement,,장소 선택,,选择地点,選擇地點
,,choose fighter / mage / rogue / priest / barbarian,Choose Your Class,Klasse auswählen,Choose Your Class,Choisis ta classe,クラスを選ぶ,직업을 선택하세요,Escolha Sua Classe,选择你的职阶,選擇職業
,CoreGui,,Class,Klasse,Class,Classe,クラス,직업,Classe,职阶,職業
Claws,,,Claws,Klauen,Claws,Griffes,爪,발톱,Garras,利爪,利爪
,,,Click to open,Zum Öffnen anklicken,Click to open,Cliquer pour ouvrir,クリックして開く,클릭하여 열기,Aperte para abrir,点击以打开,按下開啟
EquipTypemelee,,as in 'close attack',Close,Schließen,Cerrar,Corps à corps,閉める,닫기,Curto,近身,近身
,,,Close Damage,Nah-Schaden,Close Damage,Dégâts au corps à corps,直接ダメージ,근접 공격력,Dano Curto,近战伤害,近身殺傷力
,,,Close Defense,Nah-Verteidigung,Close Defense,Défense au corps à corps,直接防御力,근접 방어력,Defesa Curta,近战防御,近身防禦力
HoodCloth,,,Cloth Hood,Stoffkapuze,Cloth Hood,Capuchon en tissu,布のフード,천 후드,Capuz de Tecido,棉布头巾,布製兜帽
SkinTypeClothLegs,,,Cloth Pants,Stoffhose,Cloth Pants,Pantalon en tissu,布のパンツ,천 바지,Calça de Tecido,棉布长裤,布製褲子
SkinTypeClothTorso,,,Cloth Shirt,Stoffhemd,Cloth Shirt,Chemise en tissu,布のシャツ,천 상의,Camisa de Tecido,棉布上装,布製上衣
Club,,,Club,Keule,Club,Gourdin,クラブ,클럽,Clava,棍棒,木棒
CodeAlreadyRedeemed,,,Code already redeemed,Code bereits eingelöst,Code already redeemed,Code déjà utilisé,すでに使われたコードです,이미 교환한 코드입니다,Código já usado,已使用过的兑换码,代碼已兌換
CodeRedeemed,,,Code redeemed!,Code eingelöst!,Code redeemed!,Code utilisé!,コードを使いました！,코드 교환 완료!,Código usado!,兑换码已使用！,代碼已兌換！
,,place to type in promotional codes,Codes,Codes,Códigos,Codes,コード,코드,Códigos,兑换码,代碼
coldAdjectiveFP1,,,Cold,Kalte,Cold,froides,コールド,냉기의,Frias,寒冷,寒冷
coldAdjectiveFS1,,,Cold,Kälte,Cold,Froid,,냉기의,Frio,寒冷,寒冷
,,,Come closer to open,Komm näher zum Öffnen,Come closer to open,Approche pour ouvrir,近づいて開く,가까이 가서 열기,Chegue mais perto para abrir,靠近以打开,接近以開啟
Rarity1,,,Common,Gewöhnlich,Común,Ordinaire,コモン,일반,Comum,普通,普通
explosiveNoun1,,,Concussion,Erschütterung,Concussion,Commotion,衝撃,뇌진탕,Concussão,冲击,衝擊
TutorialUnderhaven,,,Congratulations on your first hero run. You got some loot. Now might be a good time to go to Underhaven and outfit your hero. It's in the Places.,"Herzlichen Glückwunsch zum ersten Heldenlauf. Du hast etwas Beute. Vielleicht ist es ein guter Zeitpunkt, um nach Underhaven zu gehen und deinen Helden auszustatten. Es ist an den Orten.",,Félicitations héros ! Tu as ramassé un butin. C'est le moment parfait pour équiper ton héros. Rends-toi à Underhaven que tu trouveras dans Places.,,영웅으로서의 첫 성공을 축하해요. 약탈품을 좀 획득했군요. 지하 은신처로 가서 영웅을 꾸며 보세요. '장소' 메뉴에 있습니다.,,,恭喜你成功以英雄身分進行一次遊戲。你獲得了一些寶藏，可以到「地點」底下的地下聖所穿上裝備。
MaximumLevel,,,"Congratulations!
Your hero has reached the maximum level!","Glückwunsch!
Dein Held hat die Höchststufe erreicht!","Congratulations!
Your hero has reached the maximum level!","Félicitations!
Ton héros a atteint le niveau maximum!","おめでとう！
ヒーローが最大レベルになったよ！","축하합니다!
내 영웅이 최고 레벨에 도달했습니다!","Parabéns!
Seu Herói atingiu o nivel Máximo!","恭喜你！
你的英雄已经升值满级！","恭喜！
你的英雄已達到最高等級！"
HighestLevel,,,"Congratulations! You have gotten to the highest level on this server.
You won't be able to earn XP here anymore. Switch to a higher level server?","Glückwunsch! Du hast die Höchststufe auf diesem Server erreicht.
Hier kannst du keine EP mehr verdienen. Zu einem höherstufigen Server wechseln?","Congratulations! You have gotten to the highest level on this server.
You won't be able to earn XP here anymore. Switch to a higher level server?","Félicitations! Tu as atteint le niveau le plus haut sur ce serveur.
Tu ne pourras plus gagner d'EXP ici. Veux-tu passer à un serveur supérieur?","おめでとう！このサーバーで一番レベルが高いプレイヤーになったよ。
これ以上の経験値はもらえないから、もっとレベルの高いサーバーに移る？","축하합니다! 이 서버에서 가장 높은 레벨이 되었습니다.
이 서버에서는 더는 XP를 획득할 수 없습니다. 더 높은 레벨의 서버로 갈까요?","Parabéns! você atingiu o maior nível deste servidor.
você não podera ganhar mais XP aqui. Gostaria de mudar para um servidor de maior nível?","恭喜你！你的等级已经达到了本服务器的最高级。
你将无法获得更多经验值。需要跳转到更高级的服务器吗？","恭喜！你已達到本伺服器的最高等級。
你將不會再獲得經驗值。要切換到更高等級的伺服器嗎？"
conNoun1,,,Constitution,Konstitution,Constitution,Constitution,健康,기질,Constituição,构造,結構
TutorialBecomeMonster,,,Cool! Let's fight some heroes. (They're the ones with the BLUE nametags.) We need to stop being a Dungeon Lord and become a monster.,Cool! Lass uns gegen ein paar Helden kämpfen. (Das sind die mit den BLAUEN Nametags.) Sag dem Dasein als Dungeon Lord ade und werde zum Monster.,Cool! Let's fight some heroes. (They're the ones with the BLUE nametags.) We need to stop being a Dungeon Lord and become a monster.,Génial! Affrontons des héros (ceux dont les noms sont en BLEU). Nous devons arrêter d'être un seigneur de donjon et devenir un monstre.,いいねいいね！つぎはヒーローと戦ってみよう。名前が「青色」で表示されているのがヒーローだよ。それじゃあダンジョンマスターから変身して、モンスターになってみよう...,잘했어요! 이제 영웅과 싸워봅시다. (영웅은 파란 이름표를 달고 있습니다) 이제 던전 군주는 그만두고 몬스터가 되어야 합니다.,Legal! vamos lutar com alguns Heróis (eles são os com os nomes em AZUL) nos precisamos mudar de Lorde da Dungeon para nos tornar Monstros,太棒了！让我们去和一些英雄对战。（他们的名为显示为蓝色）地下城领主已经当够了，是时候化身为怪物了,很好！一起擊敗英雄吧。(英雄的名牌會以藍色顯示。) 我們不能再當地城領主了，得趕快成為怪物。
TutorialBlueprintCount,,,"Cool! You don't use up blueprints when you build things; they're yours to keep.
Having more of the same blueprint means you can build more on a given floor, but there are limits.","Cool! Du verbrauchst keine Entwürfe, wenn du Dinge baust, die gehören dir. Wenn du mehr von demselben Entwurf hast, kannst du mehr auf einer ausgewählten Etage bauen haben, aber es gibt Grenzen.",,"Cool ! Tes blueprints ne disparaissent pas quand tu construis des choses; ils sont à toi pour toujours. Si tu as plusieurs copies d'un blueprint, tu peux dupliquer certains éléments mais ce n'est pas infini.",,"좋아요! 제작 시 설계도를 모두 써버리지 마세요. 그건 모두 내 것이죠. 같은 설계도를 더 많이 보유하면 해당 층에 더 많은 것들을 제작할 수 있지만, 한도는 분명 있답니다.",,,哇！蓋東西的時候不會消耗藍圖，藍圖永遠是你的。擁有重複藍圖代表可以在同一關卡建造更多建築物，不過會有上限。
ToolInfoCooldown,,Cooldown: 1.50,Cooldown: {1:fixed},Abklingzeit: {1:fixed},Cooldown: {1:fixed},Récupération: {1:fixed},クールダウン: {1:fixed},쿨다운: {1:fixed},Recarga: {1:fixed},冷却时间：{1:fixed},冷卻時間：{1:fixed}
Cosmetic,,category of furniture includes statues and tables and chairs,Cosmetic,Kosmetisch,Cosmetic,Décor,飾り,장식품,Cosmético,装饰品,裝飾品
BlueprintCost,,Cost: 200,Cost: {1:int},Kosten: {1:int},Cost: {1:int},Coût: {1:int},コスト: {1:int},비용: {1:int},Custo: {1:int},耗费：{1:int},費用：{1:int}
,,metagame loot boxes,Crates,Kisten,Crates,Coffres,木箱,궤짝,Caixas,箱子,寶箱
,,button for creating a new hero character,Create New Hero,Neuen Held erstellen,Create New Hero,Créer nouveau héros,新しいヒーローを作る,새 영웅 생성,Criar Novo Herói,创建新英雄,建立新英雄
SkinTypeCrossbow,,,Crossbow,Armbrust,Crossbow,Arbalète,クロスボウ,석궁,Besta,十字弓,十字弓
Crumbling Mausoleum,,,Crumbling Mausoleum,Zerbröckelndes Mausoleum,,Mausolée croulant,,무너진 묘지,,崩塌陵墓,崩塌陵墓
,,,Crypt Of Avalon Level X,,,,,,,,
